0x004586D0 "Script_PlaySound"
0x00458720 "Script_PlayMusic"
0x00458780 "Script_PlaySoundFile"
0x00458770 "Script_StopMusic"
0x0046CD70 "Script_GetBuildInfo"
0x0046CE40 "Script_GetLocale"
0x0046CDD0 "Script_GetSavedAccountName"
0x0046CDF0 "Script_SetSavedAccountName"
0x0046CE60 "Script_SetCurrentScreen"
0x0046CEA0 "Script_QuitGame"
0x0046CEB0 "Script_PlayGlueMusic"
0x0046CEF0 "Script_PlayCreditsMusic"
0x0046CF00 "Script_StopGlueMusic"
0x0046CF10 "Script_GetMovieResolution"
0x0046DD30 "Script_GetScreenWidth"
0x0046DD80 "Script_GetScreenHeight"
0x0046CF60 "Script_LaunchURL"
0x0046CFA0 "Script_ShowTOSNotice"
0x0046CFD0 "Script_TOSAccepted"
0x0046D000 "Script_AcceptTOS"
0x0046D010 "Script_ShowEULANotice"
0x0046D040 "Script_EULAAccepted"
0x0046D070 "Script_AcceptEULA"
0x0046D080 "Script_ShowScanningNotice"
0x0046D0B0 "Script_ScanningAccepted"
0x0046D0E0 "Script_AcceptScanning"
0x0046D0F0 "Script_ShowContestNotice"
0x0046D120 "Script_ContestAccepted"
0x0046D150 "Script_AcceptContest"
0x0046D160 "Script_DefaultServerLogin"
0x0046D270 "Script_StatusDialogClick"
0x0046D280 "Script_GetServerName"
0x0046D340 "Script_DisconnectFromServer"
0x0046D380 "Script_IsConnectedToServer"
0x0046D3C0 "Script_EnterWorld"
0x0046D3D0 "Script_Screenshot"
0x0046D3E0 "Script_PatchDownloadProgress"
0x0046D400 "Script_PatchDownloadCancel"
0x0046D410 "Script_PatchDownloadApply"
0x0046D420 "Script_GetNumAddOns"
0x0046D460 "Script_GetAddOnInfo"
0x0046D5E0 "Script_LaunchAddOnURL"
0x0046D650 "Script_GetAddOnDependencies"
0x0046D6F0 "Script_GetAddOnEnableState"
0x0046D7B0 "Script_EnableAddOn"
0x0046D850 "Script_EnableAllAddOns"
0x0046D8A0 "Script_DisableAddOn"
